Cumulative_Percent_Population,Cumulative_Percent_Vaccinated,Perfect_Model,Random_Model
215.36877573942346,0.0881057268722467,215.36877573942346,45.758809521573504
189.7416697865968,0.1762114537444934,189.7416697865968,40.31388903178348
179.80157244477724,0.2643171806167401,179.80157244477724,38.20194397694163
294.59004118307746,0.3524229074889868,294.59004118307746,62.590733197827205
37.270685136652936,0.4405286343612335,37.270685136652936,7.918799631243183
36.222388618494946,0.5286343612334802,36.222388618494946,7.696070962559297
451.16061400224635,0.6167400881057269,451.16061400224635,95.85685078482771
103.57543991014602,0.7048458149779736,103.57543991014602,22.006387925499013
473.5679520778735,0.7929515418502203,473.5679520778735,100.6176760779458
183.30213403219767,0.881057268722467,183.30213403219767,38.94569863843961
56.92624485211532,0.9691629955947136,56.92624485211532,12.09496216906606
87.8884312991389,1.0572687224669604,87.8884312991389,18.673412490550852
71.28416323474354,1.145374449339207,71.28416323474354,15.145549470504294
118.71958068139274,1.145374449339207,118.71958068139274,25.224021728450165
346.9112691875702,1.2334801762114538,346.9112691875702,73.7072801437462
293.0363159865219,1.3215859030837005,293.0363159865219,62.26061749245646
232.7967053538001,1.3215859030837005,232.7967053538001,49.46167363844311
454.54885810557846,1.4096916299559472,454.54885810557846,96.57674166039529
346.33096218644704,1.4977973568281937,346.33096218644704,73.58398391643904
238.24410333208536,1.5859030837004406,238.24410333208536,50.619067256068305
311.68101834518905,1.6740088105726871,311.68101834518905,66.22200595690558
189.27368026956196,1.762114537444934,189.27368026956196,40.21445659040675
61.418944215649574,1.8502202643171806,61.418944215649574,13.049513606282718
412.6169973792587,1.9383259911894273,412.6169973792587,87.6675949130398
39.16136278547361,2.026431718061674,39.16136278547361,8.320506694405195
250.05615874204418,2.026431718061674,250.05615874204418,53.128742076417105
282.7218270310745,2.1145374449339207,282.7218270310745,60.06912648451321
271.07824784724824,2.1145374449339207,271.07824784724824,57.59524734306004
124.54137027330587,2.2026431718061676,124.54137027330587,26.460961299176745
272.05166604268067,2.290748898678414,272.05166604268067,57.80206682112365
277.4429052789217,2.378854625550661,277.4429052789217,58.94752854578363
36.11007113440659,2.4669603524229076,36.11007113440659,7.6722071766288815
466.9412205166604,2.4669603524229076,466.9412205166604,99.20971270805121
468.62598277798577,2.555066079295154,468.62598277798577,99.56766949700746
180.26956196181206,2.643171806167401,180.26956196181206,38.30137641831836
401.32909022837885,2.7312775330396475,401.32909022837885,85.26928442703296
342.7929614376638,2.8193832599118944,342.7929614376638,72.83227465963093
291.7633845001872,2.907488986784141,291.7633845001872,61.990161251911736
36.67165855484837,2.9955947136563874,36.67165855484837,7.791526106280962
223.7551478846874,3.0837004405286343,223.7551478846874,47.54063887104459
370.685136652939,3.1718061674008813,370.685136652939,78.75844816568434
424.59752901535006,3.1718061674008813,424.59752901535006,90.21306541228424
468.38262822912765,3.2599118942731278,468.38262822912765,99.51596462749156
227.14339198801946,3.3480176211453743,227.14339198801946,48.26052974661215
358.8543616622988,3.4361233480176208,358.8543616622988,76.24479604768048
111.75589666791464,3.524229074889868,111.75589666791464,23.74446700076434
73.83002620741296,3.6123348017621146,73.83002620741296,15.68646195159373
89.31111943092475,3.700440528634361,89.31111943092475,18.975687112336125
230.64395357543992,3.7885462555066076,230.64395357543992,49.00428440811013
461.4189442156496,3.8766519823788546,461.4189442156496,98.03640989980576
295.22650692624484,3.8766519823788546,295.22650692624484,62.725961318099564
279.6330962186447,3.9647577092511015,279.6330962186447,59.41287237142676
262.6731561213029,3.9647577092511015,262.6731561213029,55.80944069593387
224.6724073380756,4.052863436123348,224.6724073380756,47.735526456142985
469.16885061774616,4.140969162995595,469.16885061774616,99.68301112900448
243.16735305129166,4.229074889867841,243.16735305129166,51.665096539351566
321.6211156870086,4.317180616740088,321.6211156870086,68.33395101174744
434.76226132534634,4.405286343612335,434.76226132534634,92.37273803898692
70.19842755522276,4.405286343612335,70.19842755522276,14.914866206510267
3.987270685136653,4.405286343612335,3.987270685136653,0.847164400529783
329.3523025084238,4.493392070484582,329.3523025084238,69.9765749432911
339.27368026956196,4.581497797356828,339.27368026956196,72.08454270047788
137.3830026207413,4.669603524229075,137.3830026207413,29.18938749055436
116.86634219393486,4.669603524229075,116.86634219393486,24.83026926059829
255.57843504305504,4.669603524229075,255.57843504305504,54.30204488466258
50.748783227255714,4.757709251101322,50.748783227255714,10.782453942893156
89.27368026956196,4.757709251101322,89.27368026956196,18.96773251702599
207.7311868214152,4.845814977973569,207.7311868214152,44.136072078305176
170.53538000748782,4.933920704845815,170.53538000748782,36.23318163768227
9.678023212280044,5.022026431718062,9.678023212280044,2.056262887670882
72.1827031074504,5.110132158590308,72.1827031074504,15.336459757947624
13.665293897416698,5.1982378854625555,13.665293897416698,2.903427288200665
383.6765256458255,5.286343612334802,383.6765256458255,81.5186927383025
324.6536877573942,5.3744493392070485,324.6536877573942,68.97827323186868
244.08461250467988,5.3744493392070485,244.08461250467988,51.85998412444995
489.81654810932235,5.462555066079295,489.81654810932235,104.06997044254602
66.19243728940472,5.5506607929515415,66.19243728940472,14.063724508325413
238.3938599775365,5.638766519823789,238.3938599775365,50.65088563730886
100.82366154998128,5.726872246696035,100.82366154998128,21.42172517020381
353.5567203294646,5.814977973568282,353.5567203294646,75.11922081129583
214.11456383377012,5.814977973568282,214.11456383377012,45.49233057868384
125.27143391988021,5.903083700440528,125.27143391988021,26.616075907724458
166.71658554848372,5.991189427312775,166.71658554848372,35.42181291604812
197.51029576937475,6.079295154185022,197.51029576937475,41.96446755863728
